DateTime,Entries,UniqueIPs
1483083062,945,945
1483093865,950,950
1483104664,910,910
1483115467,934,934
1483125669,1019,1019
1483137670,1115,1115
1483150270,1107,1107
1483157470,1101,1101
1483171866,1014,1014
1483184464,967,967
1483197661,931,931
1483208464,1048,1048
1483220464,1128,1128
1483233664,1120,1120
1483246864,1043,1043
1483259468,1032,1032
1483271468,1024,1024
1483285260,928,928
1483294861,959,959
1483306866,1111,1111
1483320064,1096,1096
1483334458,986,986
1483346461,968,968
1483358463,984,984
1483372261,996,996
1483383662,1139,1139
1483395068,1240,1240
1483403467,1289,1289
1483411265,1288,1288
1483418465,1230,1230
1483426867,1143,1143
1483440071,1084,1084
1483447262,1088,1088
1483476063,1115,1115
1483489263,1127,1127
1483503665,1080,1080
1483517464,1004,1004
1483531862,1029,1029
1483546268,1026,1026
1483557664,1085,1085
1483568460,1172,1172
1483582266,1190,1190
1483589464,1147,1147
1483597266,1116,1116
1483611071,1096,1096
1483618271,1065,1065
1483632063,949,949
1483642860,988,988
1483653660,1023,1023
1483664457,1077,1077
1483678259,1062,1062
1483692065,970,970
1483705866,854,854
1483716663,846,846
1483726864,908,908
1483737663,1014,1014
1483749663,1053,1053
1483764061,985,985
1483778466,917,917
1483788062,837,837
1483798859,770,770
1483809659,783,783
1483821059,920,920
1483833065,990,990
1483839665,993,993
1483854063,940,940
1483867861,808,808
1483879259,790,790
1483889462,783,783
1483900255,814,814
1483910460,938,938
1483922461,956,956
1483933259,938,938
1483945259,907,907
1483956062,841,841
1483967454,783,783
1483977656,737,737
1483987858,751,751
1483998659,820,820
1484010059,851,851
1484015457,836,836
1484025655,820,820
1484037059,774,774
1484047861,760,760
1484058658,798,798
1484068860,794,794
1484079658,810,810
1484091060,863,863
1484101859,828,828
1484112658,789,789
1484124059,756,756
1484133657,744,744
1484145059,739,739
1484155259,753,753
1484166057,757,757
1484177457,803,803
1484188255,767,767
1484200858,731,731
1484205659,718,718
1484216452,704,704
1484227257,712,712
1484238062,769,769
1484249465,846,846
1484259662,897,897
1484270459,866,866
1484281859,823,823
1484292653,797,797
1484302857,769,769
1484313653,735,735
1484324456,730,730
1484335856,751,751
1484346059,824,824
1484357461,883,883
1484368859,860,860
1484380860,813,813
1484391063,794,794
1484401856,760,760
1484413259,717,717
1484423454,701,701
1484434256,693,693
1484445052,717,717
1484455856,738,738
1484466658,757,757
1484477463,755,755
1484488257,732,732
1484499053,748,748
1484509852,745,745
1484520053,788,788
1484531454,789,789
1484542254,813,813
1484553655,778,778
1484563852,716,716
1484574656,690,690
1484580653,685,685
1484590248,686,686
1484601642,724,724
1484613055,759,759
1484623258,747,747
1484634651,698,698
1484644852,695,695
1484655652,693,693
1484666450,684,684
1484671856,691,691
1484682059,673,673
1484693455,750,750
1484704256,737,737
1484715053,684,684
1484726459,715,715
1484737261,685,685
1484748058,636,636
1484757653,676,676
1484768456,703,703
1484779857,762,762
1484790657,783,783
1484802054,771,771
1484812862,747,747
1484823660,693,693
1484833856,640,640
1484844652,624,624
1484855454,697,697
1484866856,719,719
1484877650,687,687
1484887851,684,684
1484899258,683,683
1484909457,635,635
1484919655,635,635
1484931055,649,649
1484941862,670,670
1484952055,720,720
1484964654,684,684
1484974255,691,691
1484985049,673,673
1484996457,649,649
1485006656,597,597
1485012056,581,581
1485022253,586,586
